"Oggetto","Anno","Titolo","Preventivo","Consuntivo"
"TIT. 1 - CATEGORIA 1. - IMPOSTE ",2005,"TIT. 1","22,349,325.16","23,015,445.76"
"TIT. 1 - CATEGORIA 2. - TASSE ",2005,"TIT. 1","6,342.30","24,026.97"
"TIT. 1 - CATEGORIA 3. - TRIBUTI SPECIALI ED ALTRE ENTRATE TRIBUTARIE PROPRIE",2005,"TIT. 1","310,000.00","353,639.73"
"TIT. 2 - CATEGORIA 1. - CONTRIBUTI E TRASFERIMENTI DALLO STATO ",2005,"TIT. 2","2,247,819.67","3,582,022.79"
"TIT. 2 - CATEGORIA 2. - CONTRIBUTI E TRASFERIMENTI CORRENTI DALLA PROVINCIA AUTONOMA",2005,"TIT. 2","88,201,401.66","83,763,593.65"
"TIT. 2 - CATEGORIA 3. - CONTRIBUTI E TRASFERIMENTI DALLA PROVINCIA AUTONOMA PER FUNZIONI DELEGATE",2005,"TIT. 2","30,220,772.30","29,360,408.15"
"TIT. 2 - CATEGORIA 4. - CONTRIBUTI E TRASFERIMENTI DA PARTE DI ORGANISMI COMUNITARI E INTERNAZIONALI",2005,"TIT. 2","377,307.52","246,925.97"
"TIT. 2 - CATEGORIA 5. - CONTRIBUTI E TRASFERIMENTI CORRENTI DA ALTRI ENTI DEL SETTORE PUBBLICO",2005,"TIT. 2","17,515.00","17,515.16"
"TIT. 3 - CATEGORIA 1. - PROVENTI DEI SERVIZI PUBBLICI ",2005,"TIT. 3","16,699,563.00","16,698,985.53"
"TIT. 3 - CATEGORIA 2. - PROVENTI DEI BENI DELL'ENTE ",2005,"TIT. 3","4,551,684.19","4,594,000.80"
"TIT. 3 - CATEGORIA 3. - INTERESSI SU ANTICIPAZIONI E CREDITI ",2005,"TIT. 3","732,500.00","770,510.75"
"TIT. 3 - CATEGORIA 4. - UTILI NETTI DELLE AZIENDE SPECIALI E PARTECIPATE, DIVIDENDI DI SOCIETA'",2005,"TIT. 3","3,318,780.72","3,318,956.53"
"TIT. 3 - CATEGORIA 5. - PROVENTI DIVERSI ",2005,"TIT. 3","15,813,648.32","16,497,175.13"
"TIT. 4 - CATEGORIA 1. - ALIENAZIONE DI BENI PATRIMONIALI ",2005,"TIT. 4","10,463,909.66","4,865,861.86"
"TIT. 4 - CATEGORIA 3. - TRASFERIMENTI DI CAPITALE DALLA PROVINCIA AUTONOMA",2005,"TIT. 4","39,206,486.60","33,728,257.16"
"TIT. 4 - CATEGORIA 5. - TRASFERIMENTI DI CAPITALE DA ALTRI SOGGETTI ",2005,"TIT. 4","5,910,629.22","7,575,205.30"
"TIT. 4 - CATEGORIA 6. - RISCOSSIONE DI CREDITI ",2005,"TIT. 4","736,603.39","716,763.61"
"TIT. 5 - CATEGORIA 1. - ANTICIPAZIONI DI CASSA ",2005,"TIT. 5","30,000,000.00",0.00
"TIT. 5 - CATEGORIA 3. - ASSUNZIONE DI MUTUI E PRESTITI ",2005,"TIT. 5","21,412,822.00","21,397,973.85"
"TIT. 6 - ENTRATE SERVIZI PER CONTO DI TERZI",2005,"TIT. 6","22,356,580.70","19,586,080.12"
