"Oggetto","Anno","Titolo","Preventivo","Consuntivo"
"TIT. 1 - FUNZIONI DI ISTRUZIONE PUBBLICA ",2005,"TIT. 1","11,794,741.92","11,665,266.98"
"TIT. 1 - FUNZIONI DI POLIZIA LOCALE ",2005,"TIT. 1","6,931,185.04","6,790,706.26"
"TIT. 1 - FUNZIONI GENERALI DI AMMINISTRAZIONE, DI GESTIONE E DI CONTROLLO",2005,"TIT. 1","40,308,226.80","39,409,354.86"
"TIT. 1 - FUNZIONI NEL CAMPO DELLA VIABILITA' E DEI TRASPORTI ",2005,"TIT. 1","23,772,215.40","23,658,806.78"
"TIT. 1 - FUNZIONI NEL CAMPO DELLO SVILUPPO ECONOMICO ",2005,"TIT. 1","1,279,896.24","1,191,171.57"
"TIT. 1 - FUNZIONI NEL CAMPO TURISTICO ",2005,"TIT. 1","764,917.86","750,688.86"
"TIT. 1 - FUNZIONI NEL SETTORE SOCIALE ",2005,"TIT. 1","61,366,600.20","59,565,741.84"
"TIT. 1 - FUNZIONI NEL SETTORE SPORTIVO E RICREATIVO ",2005,"TIT. 1","7,303,864.22","7,295,117.49"
"TIT. 1 - FUNZIONI RELATIVE ALLA CULTURA E AI BENI CULTURALI ",2005,"TIT. 1","7,578,478.54","7,461,302.57"
"TIT. 1 - FUNZIONI RELATIVE ALLA GIUSTIZIA ",2005,"TIT. 1","1,038,481.76","1,028,866.15"
"TIT. 1 - FUNZIONI RIGUARDANTI LA GESTIONE DEL TERRITORIO E DELL'AMBIENTE",2005,"TIT. 1","16,747,806.35","16,419,345.36"
"TIT. 2 - FUNZIONI DI ISTRUZIONE PUBBLICA ",2005,"TIT. 2","16,820,915.21","16,820,688.16"
"TIT. 2 - FUNZIONI DI POLIZIA LOCALE ",2005,"TIT. 2","538,403.40","538,249.40"
"TIT. 2 - FUNZIONI GENERALI DI AMMINISTRAZIONE, DI GESTIONE E DI CONTROLLO",2005,"TIT. 2","12,741,684.87","12,576,708.33"
"TIT. 2 - FUNZIONI NEL CAMPO DELLA VIABILITA' E DEI TRASPORTI ",2005,"TIT. 2","12,569,353.32","12,435,341.65"
"TIT. 2 - FUNZIONI NEL CAMPO DELLO SVILUPPO ECONOMICO ",2005,"TIT. 2","101,000.00","100,389.38"
"TIT. 2 - FUNZIONI NEL CAMPO TURISTICO ",2005,"TIT. 2","100,000.00","100,000.00"
"TIT. 2 - FUNZIONI NEL SETTORE SOCIALE ",2005,"TIT. 2","9,649,054.88","9,642,249.25"
"TIT. 2 - FUNZIONI NEL SETTORE SPORTIVO E RICREATIVO ",2005,"TIT. 2","3,223,285.02","3,203,039.32"
"TIT. 2 - FUNZIONI RELATIVE ALLA CULTURA E AI BENI CULTURALI ",2005,"TIT. 2","1,795,000.00","1,795,000.00"
"TIT. 2 - FUNZIONI RELATIVE ALLA GIUSTIZIA ",2005,"TIT. 2","268,000.00","262,000.00"
"TIT. 2 - FUNZIONI RIGUARDANTI LA GESTIONE DEL TERRITORIO E DELL'AMBIENTE",2005,"TIT. 2","26,147,541.37","15,684,298.42"
"TIT. 3 - FUNZIONI GENERALI DI AMMINISTRAZIONE, DI GESTIONE E DI CONTROLLO",2005,"TIT. 3","38,007,197.58","8,007,197.58"
"TIT. 4 - SPESE SERVIZI PER CONTO DI TERZI",2005,"TIT. 4","22,356,580.70","19,586,080.12"
